# Tile coordinates are in index space, not physical space
dim = 3

tile_32.nrrd;;(0, 0, 1.805571623146534)
tile_33.nrrd;;(29.15533833228624, 0, 3.7811031265184285)
tile_34.nrrd;;(63.21018574489996, 0, 3.516560951806605)
tile_35.nrrd;;(99.6923076923077, 0, 4.121702385507524)
tile_36.nrrd;;(0, 54.429151923393015, 2.4810766970738767)
tile_37.nrrd;;(31.502649900775687, 60.46101619101284, 3.9366346690803766)
tile_38.nrrd;;(62.582959599219826, 59.270743502620206, 3.620883479341865)
tile_39.nrrd;;(99.6923076923077, 60.063668778875055, 4.10995628759265)
tile_40.nrrd;;(0, 116.5632899377495, 3.6089220721274615)
tile_41.nrrd;;(31.82441818576592, 114.50067940750193, 1.8197762131690975)
tile_42.nrrd;;(68.89374672793424, 116.87169560474216, 2.427017623744905)
tile_43.nrrd;;(99.6923076923077, 117.27724281863424, 3.625917624682188)
tile_44.nrrd;;(0, 172.30215919146434, 2.496204667724669)
tile_45.nrrd;;(34.64158236774114, 171.80129499523866, 2.0205114936456083)
tile_46.nrrd;;(70.16572593886117, 173.16073721097044, 3.560546088963747)
tile_47.nrrd;;(99.6923076923077, 173.91754332254874, 2.0213780740275977)
tile_48.nrrd;;(0, 230.3031822367739, 4.046811616793275)
tile_49.nrrd;;(36.167032028620056, 227.58649931159943, 2.458024076744914)
tile_50.nrrd;;(70.48233108084935, 229.00042949626155, 2.182432031817734)
tile_51.nrrd;;(99.6923076923077, 227.60982983152, 2.874842038191855)
tile_52.nrrd;;(0, 291.92565866030435, 1.884409631229937)
tile_53.nrrd;;(31.531787069485734, 290.0527376888454, 3.835357073508203)
tile_54.nrrd;;(68.45698667283241, 288.7214687214106, 1.8579485546797514)
tile_55.nrrd;;(99.6923076923077, 286.4458832185984, 1.8087477145716546)
tile_56.nrrd;;(0, 345.7978826307792, 2.0161109386011957)
tile_57.nrrd;;(30.28593548765549, 345.88077294791265, 3.628059142827988)
tile_58.nrrd;;(63.00678319724706, 344.0878424126976, 4.000269903615117)
tile_59.nrrd;;(99.6923076923077, 345.59665317178013, 1.8245029907673596)
tile_60.nrrd;;(0, 403.23021582733816, 2.1450496980920435)
tile_61.nrrd;;(31.523140729390654, 403.23021582733816, 4.103148162178695)
tile_62.nrrd;;(64.28229053433124, 403.23021582733816, 2.3995314918458464)
tile_63.nrrd;;(99.6923076923077, 403.23021582733816, 2.400643979385495)
tile_64.nrrd;;(0, 0, 6)
tile_65.nrrd;;(32.826594800673995, 0, 6)
tile_66.nrrd;;(66.62811157451225, 0, 6)
tile_67.nrrd;;(99.6923076923077, 0, 6)
tile_68.nrrd;;(0, 59.923666079020755, 6)
tile_69.nrrd;;(33.139522365881845, 60.34665066531638, 6)
tile_70.nrrd;;(66.23699900301602, 55.39563232157246, 6)
tile_71.nrrd;;(99.6923076923077, 54.51313186766539, 6)
tile_72.nrrd;;(0, 115.0833624596339, 6)
tile_73.nrrd;;(31.882692314799012, 114.58799492484695, 6)
tile_74.nrrd;;(63.34446145892142, 115.89208429891134, 6)
tile_75.nrrd;;(99.6923076923077, 112.8842541560879, 6)
tile_76.nrrd;;(0, 176.81079566132064, 6)
tile_77.nrrd;;(29.767184755435352, 169.88783127780493, 6)
tile_78.nrrd;;(66.69591567883124, 175.6085147371824, 6)
tile_79.nrrd;;(99.6923076923077, 168.9600072431599, 6)
tile_80.nrrd;;(0, 232.76276297424417, 6)
tile_81.nrrd;;(32.98817451527485, 228.46071347401698, 6)
tile_82.nrrd;;(68.87791937566719, 230.40416802121126, 6)
tile_83.nrrd;;(99.6923076923077, 229.2778408912419, 6)
tile_84.nrrd;;(0, 289.3320863107005, 6)
tile_85.nrrd;;(32.17009436144278, 284.95067765007883, 6)
tile_86.nrrd;;(68.16823975214591, 289.96092062485036, 6)
tile_87.nrrd;;(99.6923076923077, 290.60950720979156, 6)
tile_88.nrrd;;(0, 344.39843469197666, 6)
tile_89.nrrd;;(36.192222780676985, 349.5239004345142, 6)
tile_90.nrrd;;(70.36229242292734, 342.72038393643476, 6)
tile_91.nrrd;;(99.6923076923077, 346.44264056330024, 6)
tile_92.nrrd;;(0, 403.23021582733816, 6)
tile_93.nrrd;;(37.15510695645442, 403.23021582733816, 6)
tile_94.nrrd;;(68.08085743463955, 403.23021582733816, 6)
tile_95.nrrd;;(99.6923076923077, 403.23021582733816, 6)
